No,Peak Date/Time,DST Peak (nT),Btot Peak(nT),Bz Peak(nT),Flow Speed Peak (km/s),icme onsett (yyyy-mm-dd hh:mm),CME Onsett (yyyy-mm-dd hh:mm),Travel time (hours),Cme speed (km/s),MPA (Deg),AW (Deg),ACTIVE REGION,solar coord:,Flare,Uncertiainty,
1,1996-10-23 05:00,-105,12.91,-10.37,621.9,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
2,1997-04-22 00:00,-107,10.75,-6.73,425.6,1997-04-21 7:58,1997-04-16 07:35,120.4,87,89,113,AR 08032,S22W07,NA,,
3,1997-05-15 13:00,-115,26.04,-25.42,424.2,1997-05-15 2:04,1997-05-12 05:30,68.6,464,264,360,AR 8038,N21W08,C1.3,,
4,1997-10-11 04:00,-130,13.42,-10.76,430.9,1997-10-10 16:00,1997-10-06 15:28,96.5,293,130,174,AR 08090,S28W10,NA,,
5,1997-11-07 05:00,-110,15.21,-14.42,455.8,1997-11-06 22:52,1997-11-04 06:10,64.7,785,243,360,AR 08100,S14W33,X2.1,,
6,1997-11-23 13:00,-108,16.18,-12.51,513.6,1997-11-22 9:56,1997-11-19 12:27,69.48,150,280,360,AR 08108,N25E12,NA,u,
7,1998-02-18 01:00,-100,15.72,-14.51,410.8,1998-02-17 5:36,1998-02-14 06:55,70.7,123,164,206,AR 08156,S25E17,NA,u,
8,1998-03-10 21:00,-116,17.07,-15.46,516.1,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
9,1998-05-04 06:00,-205,37.23,-23.54,829,1998-05-04 2:47,1998-05-02 14:06,36.7,938,331,360,AR 08210,S15W15,X1.1,,
10,1998-06-26 05:00,-101,14.63,-13.83,472.9,1998-06-25 17:01,1998-06-22 07:34,81.5,278,199,119,AR 08243,N17W52,C2.9,,
11,1998-08-06 12:00,-138,21.36,-20.95,416,1998-08-06 7:38,NA,NA,NA,NA,NA,NA,NA,NA,,
12,1998-08-07 06:00,-108,13.86,-10.5,427.8,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
13,1998-08-27 10:00,-155,16.76,-14.04,661.7,1998-08-26 6:55,NA,NA,NA,NA,NA,NA,NA,NA,,
14,1998-09-25 10:00,-207,19.66,-6.02,760.1,1998-09-24 23:52,NA,NA,NA,NA,NA,NA,NA,NA,,
15,1998-10-19 16:00,-112,18.74,-17.99,402.5,1998-10-18 20:10,NA,NA,NA,NA,NA,NA,NA,NA,,
16,1998-11-08 07:00,-149,16.66,-14.35,502.9,1998-11-07 8:15,1998-11-04 07:54,72.4,523,349,360,AR 08375,N17W01,C1.6,,
17,1998-11-09 18:00,-142,13.88,-13.51,440.2,1998-11-08 4:56,1998-11-05 20:44,56.2,1118,300,360,AR 08375,N22W18,M8.4,,
18,1998-11-13 22:00,-131,17.75,-17.2,355.8,1998-11-13 0:30,1998-11-09 18:17,78.2,325,338,190,AR 08377,N17W03,C3.1,,
19,1999-01-14 00:00,-112,18.91,-17.51,430.3,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
20,1999-02-18 10:00,-123,28.63,-25.1,645.6,1999-02-18 2:35,NA,NA,NA,NA,NA,NA,NA,NA,,
21,1999-09-23 00:00,-173,23.26,-22.67,608.3,1999-09-22 11:53,1999-09-20 06:06,53.8,604,14,360,Quiet region,S20W05,C2.8,,
22,1999-10-22 07:00,-237,34.56,-30.91,532.1,1999-10-21 2:16,1999-10-18 00:06,74.2,144,184,240,Quiet region,S21W01,C1.0,,
23,1999-11-13 23:00,-106,12.33,-12.06,454.1,1999-11-13 12:51,NA,NA,NA,NA,NA,NA,NA,NA,,
24,2000-02-12 12:00,-135,21.15,-17.45,597.5,2000-02-11 23:54,2000-02-09 19:54,52,910,223,360,AR 08853,S17W40,C7.4,,
25,2000-04-07 01:00,-292,25.46,-24.59,570.8,2000-04-06 16:48,2000-04-04 16:32,48.3,1188,265,360,AR 08933,N18W55,C9.7,,
26,2000-05-24 09:00,-147,14.72,-12.87,610,2000-05-23 17:04,2000-05-22 01:50,39.2,649,245,360,AR 09004,N15W26,C6.3,,
27,2000-07-16 01:00,-300,51.6,-45.2,1107,2000-07-15 14:23,2000-07-14 10:54,27.5,1674,273,360,AR 09077,N22W07,X5.7,,
28,2000-08-11 07:00,-105,12.66,-10.6,426.1,2000-08-10 5:13,2000-08-06 22:30,78.7,211,337,>122,AR 09114,N12E27,NA,,
29,2000-08-12 10:00,-234,29.13,-28.66,589.8,2000-08-11 19:02,2000-08-09 16:30,50.5,702,12,360,AR 09114,N20E12,C2.3,,
30,2000-09-18 00:00,-201,33.7,-26.7,798.5,2000-09-17 16:00,2000-09-16 05:18,34.7,1215,3,360,AR 09165,N14W07,M5.9,,
31,2000-10-05 14:00,-181,18.29,-13.84,526.2,2000-10-05 2:20,2000-10-02 20:26,53.9,569,180,360,AR 09176,S09E00,C8.4,,
32,2000-10-14 15:00,-106,12.86,-12.47,372.9,2000-10-12 22:16,2000-10-10 00:26,69.8,506,51,360,AR 09182,N01W14,C6.7,,
33,2000-10-29 04:00,-126,18.23,-16.48,403.2,2000-10-28 6:05,2000-10-25 08:26,69.7,770,275,360,AR 09201,N09W63,C4.0,,
34,2000-11-06 22:00,-159,13.72,-11.59,595.2,2000-11-06 9:52,2000-11-03 18:26,63.4,291,57,360,AR 09213,N02W02,C3.2,,
35,2000-11-29 14:00,-119,10.95,-9.69,520.1,2000-11-28 5:21,2000-11-26 17:06,36.3,980,274,360,AR 09236,N18W38,X4.0,,
